1.3741 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.9383 	WARNING 	User requested fullscreen with size [2560 1440], but screen is actually [3840, 2160]. Using actual size
10.6688 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FEDE54CFD0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FEDFE004F0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=1, size=array([3840, 2160]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.6689 	EXP 	window1: mouseVisible = True
10.6690 	EXP 	window1: mouseVisible = False
10.6690 	EXP 	window1: Attempting to measure frame rate of screen (1) ...
10.6690 	EXP 	window1: recordFrameIntervals = False
11.0027 	EXP 	window1: recordFrameIntervals = True
11.7719 	EXP 	Screen (1) actual frame rate measured at 29.89Hz
11.7719 	EXP 	window1: recordFrameIntervals = False
14.7894 	EXP 	Created intro_image1 = ImageStim(__class__=<class 'psychopy.visual.image.ImageStim'>, anchor=('center', 'center'), autoLog=True, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='images/introduce1.png', interpolate=True, mask=None, maskParams=None, name='intro_image1', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([1.5  , 0.556]), texRes=128.0, units='height', win=Window(...))
