waiting_path_L,waiting_path_R,waiting_path_non,MONEY,judgement,feedback_path_L,feedback_path_R,feedback_path_non,LOOP_1.thisRepN,LOOP_1.thisTrialN,LOOP_1.thisN,LOOP_1.thisIndex,LOOP_2.thisRepN,LOOP_2.thisTrialN,LOOP_2.thisN,LOOP_2.thisIndex,intro_image1.started,intro_image1.stopped,intro_key_resp1.keys,intro_key_resp1.rt,intro_key_resp1.started,intro_key_resp1.stopped,intro_image2.started,intro_image2.stopped,intro_key_resp2.keys,intro_key_resp2.rt,intro_key_resp2.started,intro_key_resp2.stopped,intro_image3.started,intro_image3.stopped,intro_key_resp3.keys,intro_key_resp3.rt,intro_key_resp3.started,intro_key_resp3.stopped,intro_image4.started,intro_image4.stopped,intro_key_resp4.keys,intro_key_resp4.rt,intro_key_resp4.started,intro_key_resp4.stopped,trigger.started,trigger.stopped,trigger_resp.keys,trigger_resp.rt,trigger_resp.started,trigger_resp.stopped,NULLtext.started,NULLtext.stopped,fixation.started,fixation.stopped,two_doors.started,two_doors.stopped,selet_key_resp.keys,selet_key_resp.rt,selet_key_resp.started,selet_key_resp.stopped,waiting_image_1.started,waiting_image_1.stopped,feedback_image_1.started,feedback_image_1.stopped,Money_text_1.started,Money_text_1.stopped,rest_image.started,rest_image.stopped,waiting_image_2.started,waiting_image_2.stopped,feedback_image_2.started,feedback_image_2.stopped,Money_text_2.started,Money_text_2.stopped,end_image.started,end_image.stopped,participant,性别[男1女2],年龄,date,expName,psychopyVersion,frameRate,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.55542689999947,None,80.55545949999942,None,2,0.32312590000037744,80.55545949999942,None,82.76019799999995,None,84.7931652999996,None,84.7931652999996,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.5719565999998,None,87.55509129999973,None,4,0.330337999999756,87.55509129999973,None,89.7785103999995,None,91.81345239999973,None,91.81345239999973,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.55503549999958,None,94.55498669999997,None,3,0.6813161999998556,94.55498669999997,None,96.75775290000001,None,98.79313039999943,None,98.79313039999943,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.55484660000002,None,101.5544947999997,None,2,0.4435557999995581,101.5544947999997,None,103.77117269999962,None,105.79592069999944,None,105.79592069999944,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.55487559999983,None,108.55451869999979,None,4,0.4383408000003328,108.55451869999979,None,110.79416009999932,None,112.80446099999972,None,112.80446099999972,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.55454219999956,None,115.55429989999993,None,3,0.5403600000008737,115.55429989999993,None,117.76168029999917,None,119.78744999999981,None,119.78744999999981,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.55417419999958,None,122.55393169999934,None,2,0.2923098999999638,122.55393169999934,None,124.78012399999989,None,126.77245989999938,None,126.77245989999938,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.56025799999952,None,129.55398969999987,None,2,0.40415930000017397,129.55398969999987,None,131.75780759999998,None,133.7870782,None,133.7870782,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,10,T,images/T_open_L.png,images/T_open_R.png,images/non-response.png,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.55372579999948,None,136.55370909999965,None,4,0.34489080000003014,136.55370909999965,None,138.77530359999946,None,140.8066749999998,None,140.8066749999998,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
images/waiting_L.png,images/waiting_R.png,images/waiting_non.png,-10,F,images/F_open_L.png,images/F_open_R.png,images/non-response.png,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.55374839999968,None,143.55426149999948,None,4,0.328116399999999,143.55426149999948,None,145.77057979999972,None,147.80373979999968,None,147.80373979999968,None,,,,,,,,,,,txl,2,23,2024_Dec_10_1109,Double_Doors,2021.1.4,60.057066224396735,
